name,age,street,city,state,zip,lng,lat
Matthew Ray,44,31550 Freeman Glens,Port Aaronhaven,Utah,77470,-179.025135,-62.1904575
Randall Collins MD,35,82803 Alison Rest,Rachelborough,Illinois,10182,-44.609283,-28.337885
Mary Ortiz,34,27926 Maurice Centers,Amberbury,Minnesota,37504,-21.680833,76.5618715
Charles Ellis,29,3564 Lee Knoll Apt. 099,East Charlesview,Kentucky,77490,-25.550560,10.6153255
Renee Scott,23,5082 Hansen Keys Suite 360,North David,Alaska,51458,70.153317,86.2226125
Julie Hayes,76,816 Davis Crossroad,Evansfort,Alaska,92183,-79.853413,-80.121696
Keith Jones,33,283 Benson Course,New Ethan,Georgia,83337,-145.779911,-26.892160
Richard Huff,63,0782 Nathan Springs Suite 302,Robertsmouth,Ohio,12781,102.664526,77.8155645
Philip Perez,33,81917 Moody Union,Aaronmouth,Rhode Island,11679,-127.891762,88.5361815
Mary Smith,55,071 Andrea Walk Suite 666,Brookeland,Oregon,39727,42.663508,0.654903
Susan Dawson,73,53692 Cathy Forest,Harmonchester,Idaho,12182,-81.202305,54.165476
Sandra Warren,66,89507 Thomas Pike Apt. 920,Lake Heather,Utah,78613,-154.791522,-51.1376375
Ashley Cooke,57,603 Daniel Inlet Suite 424,New Samanthatown,Wisconsin,88457,-89.265566,-29.1208965
Julie Lane,61,1089 James Club,Reginashire,Montana,62401,16.562252,13.7863955
Michael Lewis,34,9336 Lisa Port Suite 980,East Haileyshire,Ohio,94968,160.738388,-10.936114
Brian Guzman,61,33419 Durham Springs Apt. 816,Kimberlyport,New Hampshire,66296,60.473130,74.911796
Melinda Wilson,61,161 Joann Islands Apt. 215,West Ronald,Illinois,67456,124.080601,-63.897494
Beth Hill,74,11629 Long Lights Apt. 536,West Laurenstad,Virginia,89287,78.306251,76.915086
Dr. Samantha Michael,21,665 Morrison Islands Suite 309,North Amanda,Wyoming,59688,-172.487710,71.1344155
Cameron Smith,21,0336 Jesus Shoals Apt. 197,New Kenneth,Michigan,70409,170.664100,28.817961
Oscar Davis,65,75735 Grant Street,North William,Mississippi,70607,-91.412537,-77.491146
Madeline Miller,58,85095 Joann Loop Suite 853,Tinaville,Pennsylvania,73890,-110.281585,38.671858
Thomas Dennis,67,875 Herbert Spurs Suite 998,Harrisonberg,Florida,39391,64.959710,-1.3356695
Wendy Pacheco,77,211 Tamara Brooks,Lake Carmen,Indiana,89032,-174.908726,-62.158485
Crystal Ross,73,21016 Calhoun Ranch,East Jonathanstad,Nevada,88975,-41.888266,5.6998365
Michael Anderson,71,7161 Kenneth Neck,West Ralph,New Mexico,74300,-145.598680,53.5743225
Bryan Ellis,57,70101 Robert Dale,Espinozamouth,Tennessee,78899,-124.079867,-86.015701
Katherine Little,78,8555 Holly Square,West Nicoleborough,Colorado,67374,175.733346,81.817996
Robert Ellis,48,46290 Clark Court Suite 261,Greeneland,North Dakota,40613,-145.123310,-32.6384915
Amber Smith MD,33,350 Sanchez Station,Wangberg,Alabama,18371,62.953765,16.2522005
Larry Gibson,19,65694 Tristan Run Suite 286,North Vanessaberg,Maryland,99896,-59.074412,23.3817525
Melissa Tanner,34,123 Hardy Ridges,East Terri,Minnesota,31630,175.647029,64.2651315
Anthony Black,71,1308 Hutchinson Crossing Suite 960,East Anthony,Michigan,07370,117.555765,54.1837695
James Medina,59,83415 David Plaza,Brianshire,Idaho,66857,14.073020,-49.874617
Sarah Adams,77,6379 Nelson Pines,Lake Samanthamouth,Mississippi,78471,-171.198848,-34.599708
Stacy Brady,51,72660 Lauren Squares,Lake Jessica,North Carolina,41182,-179.628696,-2.8391595
